"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
1,"1 JOHN STREET, FAIRHAVEN, MA, 2719","Match","Exact","1 JOHN ST, FAIRHAVEN, MA, 02719",41.6358585360001,-70.877204247,"46846555","R","25","005","655100","2020"
2,"1 JOHN STREET, HALEDON, NJ, 7508","Match","Exact","1 JOHN ST, HALEDON, NJ, 07508",40.9295625410001,-74.184383369,"65262564","L","34","031","133701","2009"
3,"1 JONQUILLE COURT, LANCASTER, NY, 14086","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1 JOSPEH HANNAH BLVD, NEWNAN, GA, 30263","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1 JUDSON LANE, CAMPBELL HALL, NY, 10916","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1 KALER STREET, HILLSBOROUGH, NJ, 8844","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1 KEAHOLE PL UNIT 1410, HONOLULU, HI, 96825","Match","Exact","1 KEAHOLE PL, HONOLULU, HI, 96825",21.2866621530001,-157.705716708,"203245505","R","15","003","000108","1002"
8,"1 KEAHOLE PLACE APT 304, HONOLULU, HI, 96825","Match","Exact","1 KEAHOLE PL, HONOLULU, HI, 96825",21.2866621530001,-157.705716708,"203245505","R","15","003","000108","1002"
9,"1 KELMIC DRIVE, SARATOGA SPRINGS, NY, 12866","Match","Non_Exact","1 KELMIK DR, SARATOGA SPGS, NY, 12866",43.0712394650001,-73.8477334139999,"635791222","L","36","091","061404","2016"
10,"1 KELTON COURT 8M, OAKLAND, CA, 94611","Match","Exact","1 KELTON CT, OAKLAND, CA, 94611",37.824049481,-122.250756812,"125000590","R","06","001","404102","1002"
11,"1 KERRY LN, PHOENIX, AZ, 85027","Match","Non_Exact","1 W KERRY LN, PHOENIX, AZ, 85027",33.660926917,-112.07431137,"128182189","L","04","013","616700","3008"
12,"1 KILBRANNON DR, COLUMBIA, SC, 29210","Match","Exact","1 KILBRANNON DR, COLUMBIA, SC, 29210",34.0458399550001,-81.125382322,"70050384","R","45","063","020511","3011"
